Total words counted: 900991
 Rank                     Word     Count     Percentage               
   91                      why      1465     0.001625987385001626     
   92                      see      1440     0.0015982401600015982    
   93                      had      1427     0.0015838116030015839    
   94                      tis      1405     0.0015593940450015593    
   95                      out      1376     0.0015272072640015273    
   96                     some      1338     0.001485031482001485     
   97                     give      1333     0.0014794820370014794    
   98                    these      1324     0.0014694930360014695    
   99                     time      1270     0.0014095590300014095    
  100                      too      1233     0.0013684931370013685    
  101                    where      1232     0.0013673832480013673    
  102                      can      1213     0.0013462953570013462    
  103                      who      1203     0.0013351964670013353    
  104                     take      1198     0.0013296470220013296    
  105                     most      1182     0.001311888798001312     
  106                    speak      1165     0.001293020685001293     
  107                    first      1161     0.0012885811290012886    
  107                     mine      1161     0.0012885811290012886    
  108                       th      1148     0.0012741525720012742    
  109                     duke      1071     0.0011886911190011886    
  110                       up      1069     0.0011864713410011864    
  111                     tell      1059     0.0011753724510011755    
  112                   exeunt      1035     0.0011487351150011487    
  112                     much      1035     0.0011487351150011487    
  113                    think      1025     0.0011376362250011375    
  114                    never      1011     0.0011220977790011221    
  115                     exit       984     0.0010921307760010921    
  116                    heart       983     0.0010910208870010911    
  117                      nor       969     0.0010754824410010755    
  118                    queen       943     0.0010466253270010467    
  119                     doth       939     0.0010421857710010423    
  120                      any       936     0.0010388561040010388    
  121                      art       915     0.0010155484350010155    
  122                    great       899     0.0009977902110009978    
  123                     hear       871     0.0009667133190009667    
  124                     lady       864     0.0009589440960009589    
  125                     away       858     0.0009522847620009523    
  125                    death       858     0.0009522847620009523    
  126                      men       850     0.0009434056500009434    
  127                    world       849     0.0009422957610009423    
  128                     hand       838     0.0009300869820009301    
  129                   father       836     0.0009278672040009279    
  130                   before       835     0.0009267573150009268    
  131                     life       834     0.0009256474260009257    
  132                     look       829     0.0009200979810009201    
  133                     made       827     0.0009178782030009178    
  134                     very       813     0.0009023397570009023    
  135                    scene       795     0.0008823617550008824    
  136                     true       792     0.000879032088000879     
  137                    sweet       789     0.0008757024210008757    
  138                     thus       782     0.000867933198000868     
  139                      god       773     0.0008579441970008579    
  140                      own       771     0.0008557244190008557    
  141                    again       768     0.0008523947520008523    
  142                   master       765     0.0008490650850008491    
  143                       ay       764     0.000847955196000848     
  144                   cannot       762     0.0008457354180008458    
  145                     fair       757     0.0008401859730008402    
  146                   prince       742     0.0008235376380008236    
  147                     pray       730     0.0008102189700008102    
  148                      day       720     0.0007991200800007991    
  149                      old       711     0.0007891310790007891    
  150                      two       703     0.0007802519670007803    
  151                     been       697     0.0007735926330007736    
  152                      son       691     0.000766933299000767     
  153                     eyes       685     0.0007602739650007603    
  154                    other       678     0.0007525047420007525    
  155                     long       671     0.0007447355190007448    
  156                    being       662     0.0007347465180007347    
  157                     name       655     0.0007269772950007269    
  158                     down       654     0.0007258674060007258    
  159                    leave       651     0.0007225377390007226    
  160                     done       650     0.0007214278500007215    
  161                     both       641     0.0007114388490007114    
  162                     into       640     0.0007103289600007103    
  163                    blood       639     0.0007092190710007092    
  164                  nothing       633     0.0007025597370007026    
  165                    night       630     0.0006992300700006993    
  166                   though       628     0.000697010292000697     
  167                     poor       626     0.0006947905140006948    
